IDChamado,DataAbertura,Solicitante,Departamento,Categoria,DescricaoCurta,Urgencia,Status,TecnicoResponsavel,DataFechamento
1004,07/04/2025 19:56,Maria da Mata,RH,Solicitação de software,Instalar leitor de PDF,Média,Resolvido,Gabriel,07/04/2025 19:57:25
1003,07/04/2025 19:07:29,Paulo Paulada,TI,Falha em equipamento,Impressora não funciona,Média,Resolvido,Gabriel,07/04/2025 19:34:46
1002,07/04/2025 18:56:53,Maria da Penha,Comercial,Troca de senha,Solicitação de troca de senha,Média,Resolvido,Guilherme,07/04/2025 19:34:59
1001,07/04/2025 18:27:01,José da Lapa,Logística,Erro em sistema,Sistema não grava solicitação.,Média,Resolvido,Gabriel,07/04/2025 19:52:41
1000,01/03/2025 08:57,Carlos Silva,Jurídico,Falha em equipamento,Problema com impressão,Crítica,Em andamento,Gabriel,
999,05/11/2024 11:00,Carlos Silva,Jurídico,Falha em equipamento,Solicitação de instalação do Office,Crítica,Em andamento,Gabriel,
998,27/12/2024 09:22,Bruno Alves,Logística,Acesso ao sistema,Problema com impressão,Baixa,Em andamento,Gabriel,
997,31/01/2025 08:51,Carlos Silva,Operações,Solicitação de software,Conexão com servidor instável,Baixa,Em andamento,Gabriel,
996,17/02/2025 16:04,João Mendes,Logística,Acesso ao sistema,Conexão com servidor instável,Baixa,Pendente,Gabriel,
995,08/03/2025 09:01,João Mendes,Financeiro,Solicitação de software,Solicitação de instalação do Office,Alta,Pendente,Guilherme,
994,05/02/2025 15:58,Bruno Alves,Financeiro,Acesso ao sistema,Usuário não consegue acessar o sistema,Alta,Resolvido,Gabriel,07/02/2025 17:58
993,20/11/2024 09:23,Carlos Silva,Logística,Backup,Usuário não consegue acessar o sistema,Alta,Aberto,Guilherme,
992,13/01/2025 10:05,Ana Paula,Jurídico,Problemas de rede,Solicitação de instalação do Office,Média,Resolvido,Gabriel,15/01/2025 14:05
991,17/02/2025 11:36,Bruno Alves,Logística,Backup,Solicitação de instalação do Office,Crítica,Resolvido,Guilherme,20/02/2025 08:19
990,10/02/2025 11:48,João Mendes,Logística,Backup,Troca de senha solicitada,Alta,Em andamento,Gabriel,
989,08/02/2025 11:53,Carlos Silva,TI,Falha em equipamento,Problema com impressão,Baixa,Fechado,Gabriel,09/02/2025 18:39
988,30/12/2024 15:01,Fernando Lima,Financeiro,Erro em sistema,Usuário não consegue acessar o sistema,Baixa,Em andamento,Guilherme,
987,11/03/2025 10:41,Ana Paula,Operações,Troca de senha,Usuário não consegue acessar o sistema,Alta,Aberto,Guilherme,
986,11/10/2024 13:50,Carlos Silva,Operações,Falha em equipamento,Troca de senha solicitada,Crítica,Aberto,Gabriel,
985,09/03/2025 16:15,Luciana Rocha,Comercial,Backup,Usuário não consegue acessar o sistema,Crítica,Pendente,Gabriel,
984,04/01/2025 13:54,Fernando Lima,Operações,Acesso ao sistema,Troca de senha solicitada,Crítica,Fechado,Gabriel,06/01/2025 18:54
983,01/03/2025 08:47,Carlos Silva,Logística,Falha em equipamento,Troca de senha solicitada,Média,Resolvido,Gabriel,03/03/2025 08:57
982,24/12/2024 11:51,Juliana Castro,RH,Backup,Solicitação de instalação do Office,Alta,Resolvido,Guilherme,27/12/2024 10:51
981,03/02/2025 09:36,Fernando Lima,TI,Problemas de rede,Conexão com servidor instável,Alta,Pendente,Gabriel,
980,18/11/2024 12:27,Ana Paula,Financeiro,Problemas de rede,Usuário não consegue acessar o sistema,Crítica,Pendente,Gabriel,
979,17/12/2024 09:26,Ana Paula,Operações,Troca de senha,Conexão com servidor instável,Crítica,Aberto,Paulo,
978,26/10/2024 15:28,Carlos Silva,Jurídico,Backup,Usuário não consegue acessar o sistema,Alta,Aberto,Gabriel,
977,03/12/2024 11:40,Juliana Castro,Operações,Acesso ao sistema,Problema com impressão,Média,Em andamento,Gabriel,
976,07/03/2025 13:11,Ana Paula,TI,Falha em equipamento,Conexão com servidor instável,Média,Em andamento,Gabriel,
975,01/04/2025 11:24,Mariana Dias,RH,Falha em equipamento,Solicitação de instalação do Office,Média,Resolvido,Gabriel,03/04/2025 15:24
974,21/11/2024 13:16,Bruno Alves,Financeiro,Solicitação de software,Problema com impressão,Crítica,Resolvido,Gabriel,22/11/2024 08:44
973,27/11/2024 08:28,Ana Paula,Operações,Falha em equipamento,Troca de senha solicitada,Média,Fechado,Gabriel,29/11/2024 18:49
972,23/02/2025 10:00,Bruno Alves,Operações,Troca de senha,Problema com impressão,Baixa,Resolvido,Guilherme,24/02/2025 18:58
971,21/01/2025 14:15,Ana Paula,Marketing,Erro em sistema,Erro ao abrir planilha,Baixa,Fechado,Guilherme,23/01/2025 18:47
970,01/04/2025 13:59,Bruno Alves,Comercial,Troca de senha,Solicitação de instalação do Office,Crítica,Aberto,Gabriel,
969,30/12/2024 08:01,Juliana Castro,Comercial,Erro em sistema,Conexão com servidor instável,Crítica,Resolvido,Gabriel,31/12/2024 18:07
968,11/03/2025 10:31,Luciana Rocha,Comercial,Falha em equipamento,Usuário não consegue acessar o sistema,Alta,Em andamento,Gabriel,
967,27/12/2024 15:43,Bruno Alves,Marketing,Backup,Erro ao abrir planilha,Crítica,Em andamento,Paulo,
966,19/11/2024 12:20,Mariana Dias,Operações,Acesso ao sistema,Conexão com servidor instável,Crítica,Resolvido,Gabriel,20/11/2024 08:18
965,01/12/2024 08:29,João Mendes,RH,Acesso ao sistema,Solicitação de instalação do Office,Média,Resolvido,Gabriel,03/12/2024 08:47
964,09/01/2025 13:17,Carlos Silva,Financeiro,Backup,Troca de senha solicitada,Crítica,Resolvido,Gabriel,10/01/2025 13:17
963,20/12/2024 08:48,Ana Paula,Financeiro,Troca de senha,Erro ao abrir planilha,Crítica,Em andamento,Paulo,
962,15/10/2024 13:12,Carlos Silva,TI,Falha em equipamento,Usuário não consegue acessar o sistema,Crítica,Fechado,Gabriel,16/10/2024 18:12
961,31/12/2024 14:28,Bruno Alves,TI,Falha em equipamento,Problema com impressão,Média,Em andamento,Gabriel,
960,11/11/2024 16:11,Juliana Castro,Jurídico,Erro em sistema,Solicitação de instalação do Office,Média,Fechado,Paulo,13/11/2024 13:11
959,25/10/2024 12:49,Ana Paula,Operações,Erro em sistema,Solicitação de instalação do Office,Média,Aberto,Gabriel,
958,04/12/2024 14:28,João Mendes,Logística,Falha em equipamento,Usuário não consegue acessar o sistema,Baixa,Fechado,Guilherme,04/12/2024 16:28
957,05/02/2025 13:47,Ana Paula,Operações,Solicitação de software,Usuário não consegue acessar o sistema,Alta,Em andamento,Gabriel,
956,27/11/2024 16:50,Luciana Rocha,RH,Solicitação de software,Problema com impressão,Baixa,Em andamento,Gabriel,
955,23/12/2024 16:58,Carlos Silva,RH,Backup,Troca de senha solicitada,Crítica,Aberto,Gabriel,
954,15/01/2025 13:00,Bruno Alves,Jurídico,Falha em equipamento,Solicitação de instalação do Office,Média,Fechado,Guilherme,18/01/2025 09:00
953,08/12/2024 11:02,Luciana Rocha,RH,Troca de senha,Conexão com servidor instável,Crítica,Aberto,Paulo,
952,15/03/2025 11:44,Fernando Lima,RH,Backup,Conexão com servidor instável,Crítica,Em andamento,Gabriel,
951,02/01/2025 11:51,Luciana Rocha,Jurídico,Solicitação de software,Troca de senha solicitada,Baixa,Pendente,Gabriel,
950,25/03/2025 14:22,Juliana Castro,Jurídico,Backup,Conexão com servidor instável,Média,Fechado,Gabriel,26/03/2025 18:22
949,17/10/2024 16:50,Fernando Lima,Marketing,Erro em sistema,Usuário não consegue acessar o sistema,Baixa,Pendente,Guilherme,
948,12/10/2024 13:22,Ana Paula,Logística,Falha em equipamento,Solicitação de instalação do Office,Média,Em andamento,Guilherme,
947,26/03/2025 08:07,Bruno Alves,Operações,Erro em sistema,Erro ao abrir planilha,Crítica,Pendente,Guilherme,
946,13/12/2024 12:22,Bruno Alves,TI,Problemas de rede,Erro ao abrir planilha,Baixa,Fechado,Gabriel,14/12/2024 08:56
945,29/10/2024 13:59,Juliana Castro,Financeiro,Falha em equipamento,Troca de senha solicitada,Baixa,Resolvido,Gabriel,30/10/2024 18:01
944,05/12/2024 09:47,Bruno Alves,Logística,Erro em sistema,Conexão com servidor instável,Média,Resolvido,Paulo,06/12/2024 18:41
943,23/02/2025 14:28,Juliana Castro,Jurídico,Problemas de rede,Problema com impressão,Alta,Pendente,Guilherme,
942,09/03/2025 08:48,Fernando Lima,RH,Falha em equipamento,Troca de senha solicitada,Baixa,Resolvido,Gabriel,09/03/2025 16:48
941,19/11/2024 14:02,Ana Paula,Marketing,Erro em sistema,Troca de senha solicitada,Crítica,Aberto,Gabriel,
940,02/01/2025 09:40,Bruno Alves,Jurídico,Troca de senha,Troca de senha solicitada,Baixa,Em andamento,Gabriel,
939,07/03/2025 13:51,Carlos Silva,TI,Acesso ao sistema,Solicitação de instalação do Office,Baixa,Em andamento,Paulo,
938,16/12/2024 10:05,Luciana Rocha,Logística,Problemas de rede,Problema com impressão,Alta,Fechado,Gabriel,18/12/2024 12:05
937,07/01/2025 14:10,Mariana Dias,Comercial,Erro em sistema,Solicitação de instalação do Office,Alta,Aberto,Gabriel,
936,06/12/2024 14:06,João Mendes,Logística,Troca de senha,Troca de senha solicitada,Alta,Resolvido,Gabriel,07/12/2024 08:28
935,07/11/2024 16:09,João Mendes,Jurídico,Acesso ao sistema,Conexão com servidor instável,Alta,Em andamento,Gabriel,
934,30/11/2024 15:10,Fernando Lima,Logística,Problemas de rede,Problema com impressão,Alta,Fechado,Guilherme,02/12/2024 18:21
933,05/11/2024 08:59,Mariana Dias,Logística,Backup,Troca de senha solicitada,Média,Fechado,Guilherme,07/11/2024 14:59
932,22/03/2025 16:44,Mariana Dias,Jurídico,Backup,Erro ao abrir planilha,Alta,Pendente,Gabriel,
931,28/02/2025 13:57,Ana Paula,Financeiro,Troca de senha,Conexão com servidor instável,Baixa,Pendente,Guilherme,
930,31/03/2025 10:22,João Mendes,Comercial,Falha em equipamento,Troca de senha solicitada,Alta,Em andamento,Gabriel,
929,20/12/2024 08:18,João Mendes,Comercial,Falha em equipamento,Usuário não consegue acessar o sistema,Alta,Aberto,Guilherme,
928,13/03/2025 09:28,Juliana Castro,Logística,Falha em equipamento,Erro ao abrir planilha,Crítica,Resolvido,Guilherme,15/03/2025 08:57
927,28/11/2024 15:53,Mariana Dias,Comercial,Problemas de rede,Conexão com servidor instável,Alta,Resolvido,Guilherme,29/11/2024 14:53
926,12/10/2024 16:42,Ana Paula,Jurídico,Falha em equipamento,Problema com impressão,Média,Pendente,Gabriel,
925,28/12/2024 15:05,Carlos Silva,Operações,Troca de senha,Usuário não consegue acessar o sistema,Média,Pendente,Guilherme,
924,15/01/2025 13:27,Carlos Silva,Financeiro,Erro em sistema,Solicitação de instalação do Office,Média,Aberto,Paulo,
923,07/03/2025 08:49,Juliana Castro,RH,Backup,Troca de senha solicitada,Média,Pendente,Guilherme,
922,24/03/2025 15:32,Carlos Silva,Jurídico,Backup,Solicitação de instalação do Office,Média,Fechado,Gabriel,26/03/2025 18:19
921,15/01/2025 14:42,Fernando Lima,RH,Backup,Problema com impressão,Crítica,Em andamento,Guilherme,
920,28/01/2025 13:28,Juliana Castro,TI,Solicitação de software,Conexão com servidor instável,Crítica,Em andamento,Gabriel,
919,27/11/2024 16:27,Carlos Silva,RH,Troca de senha,Conexão com servidor instável,Crítica,Em andamento,Gabriel,
918,02/03/2025 14:59,Bruno Alves,Operações,Solicitação de software,Problema com impressão,Alta,Aberto,Gabriel,
917,29/11/2024 16:15,Bruno Alves,Comercial,Erro em sistema,Problema com impressão,Crítica,Resolvido,Gabriel,02/12/2024 08:35
916,31/10/2024 15:35,Fernando Lima,Jurídico,Erro em sistema,Problema com impressão,Alta,Aberto,Gabriel,
915,30/01/2025 16:02,Bruno Alves,RH,Troca de senha,Erro ao abrir planilha,Média,Fechado,Guilherme,30/01/2025 18:31
914,02/12/2024 13:30,Mariana Dias,Comercial,Falha em equipamento,Erro ao abrir planilha,Baixa,Aberto,Paulo,
913,06/11/2024 14:48,João Mendes,Operações,Erro em sistema,Erro ao abrir planilha,Crítica,Resolvido,Gabriel,06/11/2024 18:48
912,12/10/2024 16:18,Ana Paula,TI,Troca de senha,Usuário não consegue acessar o sistema,Alta,Resolvido,Gabriel,14/10/2024 18:03
911,03/12/2024 10:39,João Mendes,RH,Troca de senha,Solicitação de instalação do Office,Média,Resolvido,Gabriel,03/12/2024 12:39
910,30/11/2024 11:58,João Mendes,TI,Acesso ao sistema,Solicitação de instalação do Office,Alta,Aberto,Guilherme,
909,05/12/2024 10:51,Fernando Lima,Financeiro,Solicitação de software,Troca de senha solicitada,Média,Fechado,Guilherme,07/12/2024 08:26
908,20/10/2024 08:31,Fernando Lima,Marketing,Backup,Usuário não consegue acessar o sistema,Alta,Em andamento,Gabriel,
907,30/12/2024 15:26,Juliana Castro,Financeiro,Falha em equipamento,Usuário não consegue acessar o sistema,Crítica,Pendente,Guilherme,
906,02/02/2025 10:17,João Mendes,Financeiro,Erro em sistema,Usuário não consegue acessar o sistema,Média,Em andamento,Guilherme,
905,05/04/2025 08:48,Ana Paula,RH,Erro em sistema,Conexão com servidor instável,Baixa,Em andamento,Guilherme,
904,13/10/2024 12:55,Luciana Rocha,Operações,Backup,Conexão com servidor instável,Alta,Aberto,Gabriel,
903,23/01/2025 16:16,Bruno Alves,TI,Solicitação de software,Problema com impressão,Média,Aberto,Gabriel,
902,22/11/2024 16:40,João Mendes,Marketing,Troca de senha,Troca de senha solicitada,Baixa,Resolvido,Gabriel,23/11/2024 13:40
901,26/11/2024 08:56,Carlos Silva,Financeiro,Backup,Usuário não consegue acessar o sistema,Alta,Aberto,Paulo,
900,17/11/2024 09:46,Carlos Silva,Jurídico,Solicitação de software,Troca de senha solicitada,Baixa,Pendente,Guilherme,
899,03/02/2025 14:49,João Mendes,Jurídico,Troca de senha,Solicitação de instalação do Office,Média,Aberto,Guilherme,
