IDChamado;DataAbertura;Solicitante;Departamento;Categoria;DescricaoCurta;Urgencia;Status;TecnicoResponsavel;DataFechamento
HD-001;02/03/2025 14:04;Carlos Silva;RH;Backup;Problema com impressão;Alta;Aberto;Guilherme;
HD-002;23/10/2024 16:14;Carlos Silva;Jurídico;Backup;Erro ao abrir planilha;Média;Aberto;Paulo;
HD-003;10/11/2024 14:30;Ana Paula;Financeiro;Acesso ao sistema;Problema com impressão;Média;Em andamento;Paulo;
HD-004;12/10/2024 15:15;Mariana Dias;Logística;Solicitação de software;Conexão com servidor instável;Baixa;Pendente;Guilherme;
HD-005;03/01/2025 11:29;Bruno Alves;Financeiro;Problemas de rede;Problema com impressão;Média;Resolvido;Guilherme;05/01/2025 09:29
HD-006;05/03/2025 14:45;Fernando Lima;Logística;Problemas de rede;Solicitação de instalação do Office;Baixa;Em andamento;Paulo;
HD-007;23/03/2025 14:10;João Mendes;Comercial;Falha em equipamento;Solicitação de instalação do Office;Crítica;Resolvido;Gabriel;23/03/2025 18:02
HD-008;02/04/2025 11:25;João Mendes;Comercial;Problemas de rede;Usuário não consegue acessar o sistema;Média;Aberto;Gabriel;
HD-009;20/12/2024 10:06;Juliana Castro;Jurídico;Problemas de rede;Erro ao abrir planilha;Alta;Resolvido;Gabriel;23/12/2024 09:06
HD-010;23/12/2024 08:59;Mariana Dias;Operações;Solicitação de software;Troca de senha solicitada;Baixa;Em andamento;Gabriel;
HD-011;30/03/2025 09:33;Carlos Silva;Logística;Erro em sistema;Usuário não consegue acessar o sistema;Alta;Fechado;Paulo;01/04/2025 08:55
HD-012;19/10/2024 09:02;João Mendes;Comercial;Backup;Erro ao abrir planilha;Alta;Resolvido;Paulo;19/10/2024 18:02
HD-013;07/11/2024 16:03;Luciana Rocha;Comercial;Troca de senha;Troca de senha solicitada;Média;Pendente;Gabriel;
HD-014;12/11/2024 15:51;Ana Paula;Logística;Problemas de rede;Erro ao abrir planilha;Alta;Pendente;Gabriel;
HD-015;09/12/2024 10:13;Fernando Lima;Financeiro;Falha em equipamento;Troca de senha solicitada;Alta;Aberto;Guilherme;
HD-016;03/03/2025 13:27;Carlos Silva;Comercial;Problemas de rede;Troca de senha solicitada;Crítica;Fechado;Guilherme;05/03/2025 18:27
HD-017;21/02/2025 12:32;Ana Paula;Financeiro;Solicitação de software;Troca de senha solicitada;Média;Resolvido;Gabriel;23/02/2025 08:32
HD-018;11/11/2024 11:44;Juliana Castro;Logística;Troca de senha;Troca de senha solicitada;Baixa;Em andamento;Gabriel;
HD-019;21/02/2025 11:01;Juliana Castro;Financeiro;Acesso ao sistema;Problema com impressão;Crítica;Resolvido;Gabriel;24/02/2025 08:37
HD-020;04/12/2024 13:52;Luciana Rocha;Jurídico;Erro em sistema;Conexão com servidor instável;Média;Pendente;Gabriel;
HD-021;07/11/2024 08:17;Ana Paula;Operações;Solicitação de software;Conexão com servidor instável;Baixa;Pendente;Gabriel;
HD-022;04/04/2025 13:33;Juliana Castro;Comercial;Falha em equipamento;Solicitação de instalação do Office;Crítica;Em andamento;Guilherme;
HD-023;11/10/2024 08:04;João Mendes;TI;Troca de senha;Solicitação de instalação do Office;Crítica;Resolvido;Gabriel;11/10/2024 18:06
HD-024;07/03/2025 11:53;Fernando Lima;Marketing;Backup;Problema com impressão;Baixa;Resolvido;Gabriel;07/03/2025 12:53
HD-025;05/11/2024 08:52;Mariana Dias;Logística;Erro em sistema;Troca de senha solicitada;Alta;Pendente;Gabriel;
HD-026;20/12/2024 16:45;Fernando Lima;TI;Erro em sistema;Conexão com servidor instável;Baixa;Aberto;Guilherme;
HD-027;04/02/2025 09:57;Juliana Castro;Logística;Backup;Conexão com servidor instável;Crítica;Aberto;Paulo;
HD-028;02/01/2025 11:39;Mariana Dias;TI;Backup;Solicitação de instalação do Office;Crítica;Aberto;Gabriel;
HD-029;02/11/2024 16:17;Luciana Rocha;Comercial;Falha em equipamento;Usuário não consegue acessar o sistema;Média;Aberto;Gabriel;
HD-030;31/12/2024 15:03;Mariana Dias;Logística;Acesso ao sistema;Troca de senha solicitada;Média;Em andamento;Gabriel;
HD-031;21/01/2025 11:31;Luciana Rocha;Marketing;Erro em sistema;Erro ao abrir planilha;Alta;Fechado;Gabriel;22/01/2025 13:31
HD-032;17/12/2024 09:15;Mariana Dias;Marketing;Backup;Problema com impressão;Média;Em andamento;Guilherme;
HD-033;02/03/2025 12:17;Juliana Castro;Logística;Falha em equipamento;Erro ao abrir planilha;Alta;Em andamento;Gabriel;
HD-034;03/12/2024 11:14;Luciana Rocha;Comercial;Solicitação de software;Conexão com servidor instável;Média;Aberto;Paulo;
HD-035;13/11/2024 13:25;Bruno Alves;Financeiro;Falha em equipamento;Usuário não consegue acessar o sistema;Crítica;Fechado;Guilherme;14/11/2024 08:02
